"occ","h3_id","year","btemp_mean","sal_mean","ml_mean"
0,"852a030bfffffff",1993,2.811532959342,34.6558655103048,31.1129859685898
0,"851a8507fffffff",1993,-0.192052962755164,32.1912034988403,22.8558215141296
0,"852ad593fffffff",1993,20.2268034617106,34.4813804626465,7.01925754547119
0,"852b2007fffffff",1993,5.03877075513204,30.7167525609334,16.8945389429728
0,"852a1b83fffffff",1993,2.89754939079285,34.6407330830892,30.4104247490565
0,"852b25abfffffff",1993,3.46567584872246,31.5191096305847,18.6290074825287
0,"852b240bfffffff",1993,1.97567676007748,31.0196996370951,18.5628842035929
0,"851a8203fffffff",1993,3.20200813213984,32.7062797546387,21.1289824326833
0,"852a0c13fffffff",1993,1.88702049354712,35.4890847206116,32.5085723400116
0,"851ab56bfffffff",1993,1.76325572642187,31.4719329833984,15.2897737503052
0,"851b8eb7fffffff",1993,1.75710320472717,32.3973477946387,25.9131828811434
0,"852b080ffffffff",1994,4.44029057025909,30.5858726501465,16.0571872194608
0,"851aabdbfffffff",1994,0.202169885858893,32.1571946541468,19.5350259741147
0,"852a1b6ffffffff",1994,3.33432008160485,34.755835003323,26.8817217614916
0,"851b816ffffffff",1994,0.784091736396982,31.322184642156,16.8021355999841
0,"851b8323fffffff",1994,-0.563814184007545,30.8571695884069,15.0081135034561
0,"852b3147fffffff",1994,0.747489866365989,26.5942870140076,14.3182678540548
0,"851aae3bfffffff",1994,-0.300881967321038,32.131285349528,22.0063896020254
0,"852a00d3fffffff",1994,8.43784907460213,32.4107840061188,21.6045623620351
0,"852b56abfffffff",1994,2.03308208535115,34.3622522354126,30.4581093589465
0,"852b0d2bfffffff",1994,6.81476786732674,31.2572799921036,14.9349961280823
0,"851a9657fffffff",1994,3.48313853641351,31.5932060480118,19.8878963192304
0,"852b0c2bfffffff",1995,9.73270362615585,31.0120827356974,18.6480815410614
0,"851aa0c7fffffff",1995,-0.527247923943732,31.1443931791517,18.1669912073347
0,"852af5affffffff",1995,2.87314067284266,36.1163416544596,35.587127161026
0,"852b2b27fffffff",1995,5.99396752317747,31.2532425986396,20.972998936971
0,"852a19cbfffffff",1995,2.40800197124481,35.5203914642334,29.8420173009237
0,"852b34bbfffffff",1995,0.485531194135547,30.3692485491435,17.4082671483358
0,"852b0bc7fffffff",1995,5.98532056311766,31.0618978738785,17.719810227553
0,"852a3153fffffff",1995,6.82461017370224,31.6430210669835,16.9282364050547
0,"851a94b3fffffff",1995,5.14006978273392,32.084490246243,21.4095831712087
0,"851ba443fffffff",1995,3.21320231093301,33.7639621628655,36.7260606553819
0,"851ba377fffffff",1995,0.058442963287234,32.0808027903239,20.1930813471476
0,"852a0093fffffff",1996,6.90954315662384,32.1864097515742,24.2844691673915
0,"852b367bfffffff",1996,1.62361524171299,26.8733489248488,11.2388652563095
